dataset,action_id,source_path,status,reason,action_count,baseline_plist_count,ours_plist_count,baseline_configs,ours_configs
OpenHarmony,oh:ANIUtils.cpp_clangsa_cd10d4242bca0ef8cc99eca98779c1ac.plist,ANIUtils.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:AnimationETS.cpp_clangsa_3791dd38310d8e80ce3775d8760bb6ff.plist,AnimationETS.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:AnimationImpl.cpp_clangsa_35d8b615661684640908846807dae62e.plist,AnimationImpl.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:AnimationJS.cpp_clangsa_f441edd5763bd3a74042a5cfeaffc0ca.plist,AnimationJS.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:ArrayPropertyProxy.cpp_clangsa_795e2b339d3659be15b176aef5369cd8.plist,ArrayPropertyProxy.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:BaseObjectJS.cpp_clangsa_4f804530fc35e862e10cca686f7ad900.plist,BaseObjectJS.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:BloomETS.cpp_clangsa_72a9c00b021b872a82c28e70b06dca65.plist,BloomETS.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:BloomJS.cpp_clangsa_cc05869d31ece906b5e2a6c9b1934de4.plist,BloomJS.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:BloomSettingsImpl.cpp_clangsa_38aef990236f92572a9f60d5a7ca69a5.plist,BloomSettingsImpl.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:CameraETS.cpp_clangsa_ad5fd3dc23c7e57f0bb4256f5e9a48be.plist,CameraETS.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist,CameraImpl.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:CameraJS.cpp_clangsa_3b7263d7fee671c4b1ea380d1eed8c5f.plist,CameraJS.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:ColorFringeETS.cpp_clangsa_e443676209cf3121cc08e6427f391550.plist,ColorFringeETS.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:ColorFringeSettingsImpl.cpp_clangsa_9b83f0685977921352e1ef1082c49f5b.plist,ColorFringeSettingsImpl.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:ColorProxy.cpp_clangsa_0d8faf1fa3a63787529ebd3ede952b5b.plist,ColorProxy.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:ColorProxy.cpp_clangsa_293d8451313a1514cea0d2f5e66aaa94.plist,ColorProxy.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:CubeETS.cpp_clangsa_9cbeae70f905dc086f68d97070939443.plist,CubeETS.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:CubeJS.cpp_clangsa_68c372d944657b93fc37dd30886b8e39.plist,CubeJS.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:CustomETS.cpp_clangsa_48b0d3bece1179ee4e293a23a7ec0e98.plist,CustomETS.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:CustomJS.cpp_clangsa_53a95ecc87e2b1e7b635f166b34f009f.plist,CustomJS.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:CylinderETS.cpp_clangsa_b05102f4a5cd4bea7f5a3d1acc826509.plist,CylinderETS.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:CylinderJS.cpp_clangsa_4b24df0c11b05f9a072b138e84ffd0e2.plist,CylinderJS.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:DisposeContainer.cpp_clangsa_68a00bedfee9eb006b99fe63b6d7b898.plist,DisposeContainer.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:DrawingConfig.cpp_clangsa_f057eb44a1b5b8970afb39c77b5d39ff.plist,DrawingConfig.cpp,ours_only_input,released_ours_result,1,0,1,,
