dataset,side,checker_family,checker,report_instances,unique_issues,lifecycle_applicable,lifecycle_complete
OpenHarmony,ours,core,core.CallAndMessage,325,114,0,0
OpenHarmony,ours,core,core.DivideZero,2,2,0,0
OpenHarmony,ours,core,core.NonNullParamChecker,73,20,0,0
OpenHarmony,ours,core,core.NullDereference,95,86,0,0
OpenHarmony,ours,core,core.uninitialized.Assign,50,16,0,0
OpenHarmony,ours,core,core.uninitialized.Branch,81,12,0,0
OpenHarmony,ours,core,core.uninitialized.UndefReturn,129,24,0,0
OpenHarmony,ours,cplusplus,cplusplus.InnerPointer,29,1,0,0
OpenHarmony,ours,cplusplus,cplusplus.Move,1,1,0,0
OpenHarmony,ours,cplusplus,cplusplus.NewDelete,46,8,46,9
OpenHarmony,ours,cplusplus,cplusplus.NewDeleteLeaks,3419,823,3419,3419
OpenHarmony,ours,cplusplus,cplusplus.PlacementNew,1,1,0,0
OpenHarmony,ours,unix,unix.Malloc,31,27,31,31
OpenHarmony,ours,unix,unix.cstring.NullArg,1,1,0,0
Android,ours,core,core.BitwiseShift,3970,326,0,0
Android,ours,core,core.CallAndMessage,10702,954,0,0
Android,ours,core,core.DivideZero,661,284,0,0
Android,ours,core,core.NonNullParamChecker,925,350,0,0
Android,ours,core,core.NullDereference,4237,1433,0,0
Android,ours,core,core.StackAddressEscape,72,49,0,0
Android,ours,core,core.VLASize,9,5,0,0
Android,ours,core,core.uninitialized.ArraySubscript,21,14,0,0
Android,ours,core,core.uninitialized.Assign,2336,603,0,0
Android,ours,core,core.uninitialized.Branch,115,67,0,0
Android,ours,core,core.uninitialized.UndefReturn,3503,103,0,0
Android,ours,cplusplus,cplusplus.InnerPointer,1,1,0,0
Android,ours,cplusplus,cplusplus.Move,97,90,0,0
Android,ours,cplusplus,cplusplus.NewDelete,786,368,766,54
Android,ours,cplusplus,cplusplus.NewDeleteLeaks,5352,1893,5352,5352
Android,ours,cplusplus,cplusplus.PlacementNew,13,5,0,0
Android,ours,cplusplus,cplusplus.PureVirtualCall,4,2,0,0
Android,ours,unix,unix.API,4,4,0,0
Android,ours,unix,unix.Errno,55,7,0,0
Android,ours,unix,unix.Malloc,10103,4809,9799,9222
Android,ours,unix,unix.MallocSizeof,40,40,0,0
Android,ours,unix,unix.MismatchedDeallocator,8,8,0,0
Android,ours,unix,unix.StdCLibraryFunctions,6,6,0,0
Android,ours,unix,unix.Vfork,52,17,0,0
Android,ours,unix,unix.cstring.NullArg,16,14,0,0
