dataset,side,checker_family,checker,report_instances,unique_issues,lifecycle_applicable,lifecycle_complete
OpenHarmony,baseline,core,core.CallAndMessage,70,37,0,0
OpenHarmony,baseline,core,core.DivideZero,2,2,0,0
OpenHarmony,baseline,core,core.NonNullParamChecker,70,19,0,0
OpenHarmony,baseline,core,core.NullDereference,96,86,0,0
OpenHarmony,baseline,core,core.uninitialized.Assign,17,10,0,0
OpenHarmony,baseline,core,core.uninitialized.Branch,42,31,0,0
OpenHarmony,baseline,core,core.uninitialized.UndefReturn,26,14,0,0
OpenHarmony,baseline,cplusplus,cplusplus.InnerPointer,29,1,0,0
OpenHarmony,baseline,cplusplus,cplusplus.Move,1,1,0,0
OpenHarmony,baseline,cplusplus,cplusplus.NewDelete,31,6,31,4
OpenHarmony,baseline,cplusplus,cplusplus.NewDeleteLeaks,593,215,593,593
OpenHarmony,baseline,cplusplus,cplusplus.PlacementNew,1,1,0,0
OpenHarmony,baseline,unix,unix.cstring.NullArg,1,1,0,0
OpenHarmony,ours,core,core.CallAndMessage,306,105,0,0
OpenHarmony,ours,core,core.DivideZero,2,2,0,0
OpenHarmony,ours,core,core.NonNullParamChecker,70,19,0,0
OpenHarmony,ours,core,core.NullDereference,95,86,0,0
OpenHarmony,ours,core,core.uninitialized.Assign,50,16,0,0
OpenHarmony,ours,core,core.uninitialized.Branch,79,11,0,0
OpenHarmony,ours,core,core.uninitialized.UndefReturn,124,24,0,0
OpenHarmony,ours,cplusplus,cplusplus.InnerPointer,29,1,0,0
OpenHarmony,ours,cplusplus,cplusplus.Move,1,1,0,0
OpenHarmony,ours,cplusplus,cplusplus.NewDelete,38,8,38,9
OpenHarmony,ours,cplusplus,cplusplus.NewDeleteLeaks,3322,787,3322,3322
OpenHarmony,ours,cplusplus,cplusplus.PlacementNew,1,1,0,0
OpenHarmony,ours,unix,unix.Malloc,31,27,31,31
OpenHarmony,ours,unix,unix.cstring.NullArg,1,1,0,0
Android,baseline,core,core.BitwiseShift,3434,312,0,0
Android,baseline,core,core.CallAndMessage,7975,841,0,0
Android,baseline,core,core.DivideZero,609,253,0,0
Android,baseline,core,core.NonNullParamChecker,925,347,0,0
Android,baseline,core,core.NullDereference,4220,1423,0,0
Android,baseline,core,core.StackAddressEscape,60,41,0,0
Android,baseline,core,core.VLASize,9,5,0,0
Android,baseline,core,core.uninitialized.ArraySubscript,17,10,0,0
Android,baseline,core,core.uninitialized.Assign,2019,573,0,0
Android,baseline,core,core.uninitialized.Branch,115,66,0,0
Android,baseline,core,core.uninitialized.UndefReturn,1807,97,0,0
Android,baseline,cplusplus,cplusplus.InnerPointer,1,1,0,0
Android,baseline,cplusplus,cplusplus.Move,97,89,0,0
Android,baseline,cplusplus,cplusplus.NewDelete,626,347,617,40
Android,baseline,cplusplus,cplusplus.NewDeleteLeaks,1106,240,1106,1106
Android,baseline,cplusplus,cplusplus.PlacementNew,12,4,0,0
Android,baseline,cplusplus,cplusplus.PureVirtualCall,4,2,0,0
Android,baseline,unix,unix.API,4,4,0,0
Android,baseline,unix,unix.Errno,55,7,0,0
Android,baseline,unix,unix.Malloc,2206,800,1909,1390
Android,baseline,unix,unix.MallocSizeof,40,40,0,0
Android,baseline,unix,unix.MismatchedDeallocator,8,8,0,0
Android,baseline,unix,unix.StdCLibraryFunctions,6,6,0,0
Android,baseline,unix,unix.Vfork,53,17,0,0
Android,baseline,unix,unix.cstring.NullArg,15,13,0,0
Android,ours,core,core.BitwiseShift,3437,314,0,0
Android,ours,core,core.CallAndMessage,9488,879,0,0
Android,ours,core,core.DivideZero,639,263,0,0
Android,ours,core,core.NonNullParamChecker,914,347,0,0
Android,ours,core,core.NullDereference,4225,1426,0,0
Android,ours,core,core.StackAddressEscape,61,42,0,0
Android,ours,core,core.VLASize,9,5,0,0
Android,ours,core,core.uninitialized.ArraySubscript,21,14,0,0
Android,ours,core,core.uninitialized.Assign,2050,598,0,0
Android,ours,core,core.uninitialized.Branch,114,66,0,0
Android,ours,core,core.uninitialized.UndefReturn,2569,101,0,0
Android,ours,cplusplus,cplusplus.InnerPointer,1,1,0,0
Android,ours,cplusplus,cplusplus.Move,96,89,0,0
Android,ours,cplusplus,cplusplus.NewDelete,686,366,668,54
Android,ours,cplusplus,cplusplus.NewDeleteLeaks,5037,1802,5037,5037
Android,ours,cplusplus,cplusplus.PlacementNew,13,5,0,0
Android,ours,cplusplus,cplusplus.PureVirtualCall,4,2,0,0
Android,ours,unix,unix.API,4,4,0,0
Android,ours,unix,unix.Errno,55,7,0,0
Android,ours,unix,unix.Malloc,9362,4794,9077,8507
Android,ours,unix,unix.MallocSizeof,40,40,0,0
Android,ours,unix,unix.MismatchedDeallocator,8,8,0,0
Android,ours,unix,unix.StdCLibraryFunctions,6,6,0,0
Android,ours,unix,unix.Vfork,52,17,0,0
Android,ours,unix,unix.cstring.NullArg,16,14,0,0
