dataset,action_id,issue_pair_id,baseline_report_id,ours_report_id,checker_family,checker,kind,lifecycle_applicable,evidence,transition,baseline_locations,ours_locations
OpenHarmony,oh:AnimationImpl.cpp_clangsa_35d8b615661684640908846807dae62e.plist,5aec24bb75e998fef588,oh:AnimationImpl.cpp_clangsa_35d8b615661684640908846807dae62e.plist|AnimationImpl.cpp_clangsa_35d8b615661684640908846807dae62e.plist|2,oh:AnimationImpl.cpp_clangsa_35d8b615661684640908846807dae62e.plist|AnimationImpl.cpp_clangsa_35d8b615661684640908846807dae62e.plist|5,cplusplus,cplusplus.NewDeleteLeaks,leak,True,allocation,retained,prebuilts/taihe/ohos/linux-x86_64/taihe/include/taihe/object.hpp:132:12,prebuilts/taihe/ohos/linux-x86_64/taihe/include/taihe/object.hpp:132:12
OpenHarmony,oh:AnimationImpl.cpp_clangsa_35d8b615661684640908846807dae62e.plist,5aec24bb75e998fef588,oh:AnimationImpl.cpp_clangsa_35d8b615661684640908846807dae62e.plist|AnimationImpl.cpp_clangsa_35d8b615661684640908846807dae62e.plist|2,oh:AnimationImpl.cpp_clangsa_35d8b615661684640908846807dae62e.plist|AnimationImpl.cpp_clangsa_35d8b615661684640908846807dae62e.plist|5,cplusplus,cplusplus.NewDeleteLeaks,leak,True,release,absent_in_both,,
OpenHarmony,oh:AnimationImpl.cpp_clangsa_35d8b615661684640908846807dae62e.plist,5aec24bb75e998fef588,oh:AnimationImpl.cpp_clangsa_35d8b615661684640908846807dae62e.plist|AnimationImpl.cpp_clangsa_35d8b615661684640908846807dae62e.plist|2,oh:AnimationImpl.cpp_clangsa_35d8b615661684640908846807dae62e.plist|AnimationImpl.cpp_clangsa_35d8b615661684640908846807dae62e.plist|5,cplusplus,cplusplus.NewDeleteLeaks,leak,True,branch,retained,foundation/graphic/graphic_3d/kits/ets/taihe/src/AnimationImpl.cpp:152:73;foundation/graphic/graphic_3d/kits/ets/taihe/src/AnimationImpl.cpp:152:9;foundation/graphic/graphic_3d/kits/ets/taihe/src/AnimationImpl.cpp:158:9;foundation/graphic/graphic_3d/kits/ets/taihe/src/AnimationImpl.cpp:163:9;foundation/graphic/graphic_3d/kits/ets/taihe/src/AnimationImpl.cpp:167:9;foundation/graphic/graphic_3d/lume/LumeBase/api/base/containers/shared_ptr.h:113:13;foundation/graphic/graphic_3d/lume/LumeBase/api/base/containers/shared_ptr.h:179:13;foundation/graphic/graphic_3d/lume/LumeBase/api/base/containers/shared_ptr.h:273:16;foundation/graphic/graphic_3d/lume/LumeBase/api/base/containers/shared_ptr.h:44:13;prebuilts/clang/ohos/linux-x86_64/llvm_ohos_compile/include/libcxx-ohos/include/c++/v1/__memory/allocator.h:109:13;prebuilts/clang/ohos/linux-x86_64/llvm_ohos_compile/include/libcxx-ohos/include/c++/v1/__memory/shared_ptr.h:606:13,foundation/graphic/graphic_3d/kits/ets/taihe/src/AnimationImpl.cpp:152:73;foundation/graphic/graphic_3d/kits/ets/taihe/src/AnimationImpl.cpp:152:9;foundation/graphic/graphic_3d/kits/ets/taihe/src/AnimationImpl.cpp:158:9;foundation/graphic/graphic_3d/kits/ets/taihe/src/AnimationImpl.cpp:163:9;foundation/graphic/graphic_3d/kits/ets/taihe/src/AnimationImpl.cpp:167:9;foundation/graphic/graphic_3d/lume/LumeBase/api/base/containers/shared_ptr.h:113:13;foundation/graphic/graphic_3d/lume/LumeBase/api/base/containers/shared_ptr.h:179:13;foundation/graphic/graphic_3d/lume/LumeBase/api/base/containers/shared_ptr.h:273:16;foundation/graphic/graphic_3d/lume/LumeBase/api/base/containers/shared_ptr.h:44:13;prebuilts/clang/ohos/linux-x86_64/llvm_ohos_exp/include/libcxx-ohos/include/c++/v1/__memory/allocator.h:109:13;prebuilts/clang/ohos/linux-x86_64/llvm_ohos_exp/include/libcxx-ohos/include/c++/v1/__memory/shared_ptr.h:606:13
OpenHarmony,oh:AnimationImpl.cpp_clangsa_35d8b615661684640908846807dae62e.plist,a52bc6113406e7e85238,oh:AnimationImpl.cpp_clangsa_35d8b615661684640908846807dae62e.plist|AnimationImpl.cpp_clangsa_35d8b615661684640908846807dae62e.plist|1,oh:AnimationImpl.cpp_clangsa_35d8b615661684640908846807dae62e.plist|AnimationImpl.cpp_clangsa_35d8b615661684640908846807dae62e.plist|4,cplusplus,cplusplus.NewDeleteLeaks,leak,True,allocation,retained,prebuilts/taihe/ohos/linux-x86_64/taihe/include/taihe/object.hpp:132:12,prebuilts/taihe/ohos/linux-x86_64/taihe/include/taihe/object.hpp:132:12
OpenHarmony,oh:AnimationImpl.cpp_clangsa_35d8b615661684640908846807dae62e.plist,a52bc6113406e7e85238,oh:AnimationImpl.cpp_clangsa_35d8b615661684640908846807dae62e.plist|AnimationImpl.cpp_clangsa_35d8b615661684640908846807dae62e.plist|1,oh:AnimationImpl.cpp_clangsa_35d8b615661684640908846807dae62e.plist|AnimationImpl.cpp_clangsa_35d8b615661684640908846807dae62e.plist|4,cplusplus,cplusplus.NewDeleteLeaks,leak,True,release,absent_in_both,,
OpenHarmony,oh:AnimationImpl.cpp_clangsa_35d8b615661684640908846807dae62e.plist,a52bc6113406e7e85238,oh:AnimationImpl.cpp_clangsa_35d8b615661684640908846807dae62e.plist|AnimationImpl.cpp_clangsa_35d8b615661684640908846807dae62e.plist|1,oh:AnimationImpl.cpp_clangsa_35d8b615661684640908846807dae62e.plist|AnimationImpl.cpp_clangsa_35d8b615661684640908846807dae62e.plist|4,cplusplus,cplusplus.NewDeleteLeaks,leak,True,branch,retained,prebuilts/clang/ohos/linux-x86_64/llvm_ohos_compile/include/libcxx-ohos/include/c++/v1/__memory/shared_ptr.h:596:13,prebuilts/clang/ohos/linux-x86_64/llvm_ohos_exp/include/libcxx-ohos/include/c++/v1/__memory/shared_ptr.h:596:13
OpenHarmony,oh:AnimationJS.cpp_clangsa_f441edd5763bd3a74042a5cfeaffc0ca.plist,e8054e7d8d6ff05d1aff,oh:AnimationJS.cpp_clangsa_f441edd5763bd3a74042a5cfeaffc0ca.plist|AnimationJS.cpp_clangsa_f441edd5763bd3a74042a5cfeaffc0ca.plist|0,oh:AnimationJS.cpp_clangsa_f441edd5763bd3a74042a5cfeaffc0ca.plist|AnimationJS.cpp_clangsa_f441edd5763bd3a74042a5cfeaffc0ca.plist|5,cplusplus,cplusplus.NewDeleteLeaks,leak,True,allocation,retained,foundation/graphic/graphic_3d/lume/LumeBase/api/base/containers/unique_ptr.h:397:26,foundation/graphic/graphic_3d/lume/LumeBase/api/base/containers/unique_ptr.h:397:26
OpenHarmony,oh:AnimationJS.cpp_clangsa_f441edd5763bd3a74042a5cfeaffc0ca.plist,e8054e7d8d6ff05d1aff,oh:AnimationJS.cpp_clangsa_f441edd5763bd3a74042a5cfeaffc0ca.plist|AnimationJS.cpp_clangsa_f441edd5763bd3a74042a5cfeaffc0ca.plist|0,oh:AnimationJS.cpp_clangsa_f441edd5763bd3a74042a5cfeaffc0ca.plist|AnimationJS.cpp_clangsa_f441edd5763bd3a74042a5cfeaffc0ca.plist|5,cplusplus,cplusplus.NewDeleteLeaks,leak,True,release,absent_in_both,,
OpenHarmony,oh:AnimationJS.cpp_clangsa_f441edd5763bd3a74042a5cfeaffc0ca.plist,e8054e7d8d6ff05d1aff,oh:AnimationJS.cpp_clangsa_f441edd5763bd3a74042a5cfeaffc0ca.plist|AnimationJS.cpp_clangsa_f441edd5763bd3a74042a5cfeaffc0ca.plist|0,oh:AnimationJS.cpp_clangsa_f441edd5763bd3a74042a5cfeaffc0ca.plist|AnimationJS.cpp_clangsa_f441edd5763bd3a74042a5cfeaffc0ca.plist|5,cplusplus,cplusplus.NewDeleteLeaks,leak,True,branch,absent_in_both,,
OpenHarmony,oh:CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist,930c55ea8fb713018479,oh:CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|8,oh:CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|10,cplusplus,cplusplus.NewDeleteLeaks,leak,True,allocation,retained,prebuilts/taihe/ohos/linux-x86_64/taihe/include/taihe/object.hpp:132:12,prebuilts/taihe/ohos/linux-x86_64/taihe/include/taihe/object.hpp:132:12
