dataset,action_id,issue_pair_id,status,baseline_report_id,ours_report_id,match_cost,baseline_complete,ours_complete,overall_class
OpenHarmony,oh:ANIUtils.cpp_clangsa_cd10d4242bca0ef8cc99eca98779c1ac.plist,08c111f15cb52ac88a26,matched,oh:ANIUtils.cpp_clangsa_cd10d4242bca0ef8cc99eca98779c1ac.plist|ANIUtils.cpp_clangsa_cd10d4242bca0ef8cc99eca98779c1ac.plist|0,oh:ANIUtils.cpp_clangsa_cd10d4242bca0ef8cc99eca98779c1ac.plist|ANIUtils.cpp_clangsa_cd10d4242bca0ef8cc99eca98779c1ac.plist|0,0,,,not_applicable
OpenHarmony,oh:ANIUtils.cpp_clangsa_cd10d4242bca0ef8cc99eca98779c1ac.plist,b5902a43d5d18cc5f55f,ours_only,,oh:ANIUtils.cpp_clangsa_cd10d4242bca0ef8cc99eca98779c1ac.plist|ANIUtils.cpp_clangsa_cd10d4242bca0ef8cc99eca98779c1ac.plist|1,,,True,
OpenHarmony,oh:AnimationETS.cpp_clangsa_3791dd38310d8e80ce3775d8760bb6ff.plist,040f8dd3e2c16b34e191,ours_only,,oh:AnimationETS.cpp_clangsa_3791dd38310d8e80ce3775d8760bb6ff.plist|AnimationETS.cpp_clangsa_3791dd38310d8e80ce3775d8760bb6ff.plist|0,,,True,
OpenHarmony,oh:AnimationImpl.cpp_clangsa_35d8b615661684640908846807dae62e.plist,3f58f3ad0184ef90cd1e,ours_only,,oh:AnimationImpl.cpp_clangsa_35d8b615661684640908846807dae62e.plist|AnimationImpl.cpp_clangsa_35d8b615661684640908846807dae62e.plist|9,,,,
OpenHarmony,oh:AnimationImpl.cpp_clangsa_35d8b615661684640908846807dae62e.plist,9602a3574511b68e400e,ours_only,,oh:AnimationImpl.cpp_clangsa_35d8b615661684640908846807dae62e.plist|AnimationImpl.cpp_clangsa_35d8b615661684640908846807dae62e.plist|1,,,,
OpenHarmony,oh:AnimationImpl.cpp_clangsa_35d8b615661684640908846807dae62e.plist,df98e645deb2665534d0,ours_only,,oh:AnimationImpl.cpp_clangsa_35d8b615661684640908846807dae62e.plist|AnimationImpl.cpp_clangsa_35d8b615661684640908846807dae62e.plist|2,,,,
OpenHarmony,oh:AnimationImpl.cpp_clangsa_35d8b615661684640908846807dae62e.plist,5a32058b03f4c61ff34d,matched,oh:AnimationImpl.cpp_clangsa_35d8b615661684640908846807dae62e.plist|AnimationImpl.cpp_clangsa_35d8b615661684640908846807dae62e.plist|0,oh:AnimationImpl.cpp_clangsa_35d8b615661684640908846807dae62e.plist|AnimationImpl.cpp_clangsa_35d8b615661684640908846807dae62e.plist|3,0,,,not_applicable
OpenHarmony,oh:AnimationImpl.cpp_clangsa_35d8b615661684640908846807dae62e.plist,a68fdb9a4858b4964082,ours_only,,oh:AnimationImpl.cpp_clangsa_35d8b615661684640908846807dae62e.plist|AnimationImpl.cpp_clangsa_35d8b615661684640908846807dae62e.plist|0,,,,
OpenHarmony,oh:AnimationImpl.cpp_clangsa_35d8b615661684640908846807dae62e.plist,2a07d2010b3c88f07bfe,ours_only,,oh:AnimationImpl.cpp_clangsa_35d8b615661684640908846807dae62e.plist|AnimationImpl.cpp_clangsa_35d8b615661684640908846807dae62e.plist|7,,,True,
OpenHarmony,oh:AnimationImpl.cpp_clangsa_35d8b615661684640908846807dae62e.plist,9ef9300696d0ee96bee2,ours_only,,oh:AnimationImpl.cpp_clangsa_35d8b615661684640908846807dae62e.plist|AnimationImpl.cpp_clangsa_35d8b615661684640908846807dae62e.plist|8,,,True,
OpenHarmony,oh:AnimationImpl.cpp_clangsa_35d8b615661684640908846807dae62e.plist,17b014515e29bfee3213,ours_only,,oh:AnimationImpl.cpp_clangsa_35d8b615661684640908846807dae62e.plist|AnimationImpl.cpp_clangsa_35d8b615661684640908846807dae62e.plist|6,,,True,
OpenHarmony,oh:AnimationImpl.cpp_clangsa_35d8b615661684640908846807dae62e.plist,5aec24bb75e998fef588,matched,oh:AnimationImpl.cpp_clangsa_35d8b615661684640908846807dae62e.plist|AnimationImpl.cpp_clangsa_35d8b615661684640908846807dae62e.plist|2,oh:AnimationImpl.cpp_clangsa_35d8b615661684640908846807dae62e.plist|AnimationImpl.cpp_clangsa_35d8b615661684640908846807dae62e.plist|5,456,True,True,unchanged
OpenHarmony,oh:AnimationImpl.cpp_clangsa_35d8b615661684640908846807dae62e.plist,a52bc6113406e7e85238,matched,oh:AnimationImpl.cpp_clangsa_35d8b615661684640908846807dae62e.plist|AnimationImpl.cpp_clangsa_35d8b615661684640908846807dae62e.plist|1,oh:AnimationImpl.cpp_clangsa_35d8b615661684640908846807dae62e.plist|AnimationImpl.cpp_clangsa_35d8b615661684640908846807dae62e.plist|4,237,True,True,unchanged
OpenHarmony,oh:AnimationJS.cpp_clangsa_f441edd5763bd3a74042a5cfeaffc0ca.plist,cb7829f7b7df02b0cc1c,ours_only,,oh:AnimationJS.cpp_clangsa_f441edd5763bd3a74042a5cfeaffc0ca.plist|AnimationJS.cpp_clangsa_f441edd5763bd3a74042a5cfeaffc0ca.plist|6,,,,
OpenHarmony,oh:AnimationJS.cpp_clangsa_f441edd5763bd3a74042a5cfeaffc0ca.plist,0945181846e0f6822adc,ours_only,,oh:AnimationJS.cpp_clangsa_f441edd5763bd3a74042a5cfeaffc0ca.plist|AnimationJS.cpp_clangsa_f441edd5763bd3a74042a5cfeaffc0ca.plist|0,,,,
OpenHarmony,oh:AnimationJS.cpp_clangsa_f441edd5763bd3a74042a5cfeaffc0ca.plist,d82370f6a14565e7a1c1,ours_only,,oh:AnimationJS.cpp_clangsa_f441edd5763bd3a74042a5cfeaffc0ca.plist|AnimationJS.cpp_clangsa_f441edd5763bd3a74042a5cfeaffc0ca.plist|2,,,,
OpenHarmony,oh:AnimationJS.cpp_clangsa_f441edd5763bd3a74042a5cfeaffc0ca.plist,54ba79704b817cada602,baseline_only,oh:AnimationJS.cpp_clangsa_f441edd5763bd3a74042a5cfeaffc0ca.plist|AnimationJS.cpp_clangsa_f441edd5763bd3a74042a5cfeaffc0ca.plist|1,,,,,
OpenHarmony,oh:AnimationJS.cpp_clangsa_f441edd5763bd3a74042a5cfeaffc0ca.plist,4cea3013dda3e44aaa97,ours_only,,oh:AnimationJS.cpp_clangsa_f441edd5763bd3a74042a5cfeaffc0ca.plist|AnimationJS.cpp_clangsa_f441edd5763bd3a74042a5cfeaffc0ca.plist|1,,,,
